Stage Name,Full Name,Korean Name,K Stage Name,Date of Birth,Group,Debut,Company,Country,Second Country,Height,Weight,Birthplace,Other Group,Former Group,Gender,Age
2Soul,Kim Younghoon,김영훈,이솔,1997-09-10,7 O'clock,26/08/2014,Jungle,South Korea,,172.0,55.0,,,,M,29.0
A.M,Seong Hyunwoo,성현우,에이엠,1996-12-31,Limitless,9/07/2019,ONO,South Korea,,181.0,62.0,,,,M,30.0
Ace,Jang Wooyoung,장우영,에이스,1992-08-28,VAV,31/10/2015,A team,South Korea,,177.0,63.0,,,,M,34.0
Aeji,Kwon Aeji,권애지,애지,1999-10-25,Hash Tag,11/10/2017,LUK,South Korea,,163.0,,Daegu,,,F,27.0
AhIn,Lee Ahin,이아인,아인,1999-09-27,MOMOLAND,9/11/2016,Double Kick,South Korea,,160.0,44.0,Wonju,,,F,27.0
Ahra,Go Ahra,고아라,아라,2001-02-21,Favorite,5/07/2017,Astory,South Korea,,,,Yeosu,,,F,25.0
Ahyeon,Jung Ahyeon,정아현,아현,2007-04-11,BABYMONSTER,0/01/1900,YG,South Korea,,,,,,,F,19.0
Ahyoon,Choi Subin,최수빈,아윤,2004-10-23,BOTOPASS,26/08/2020,WKS ENE,South Korea,,,,,,,F,22.0
Ahyoon,Shin Ahyoon,신아윤,아윤,2003-09-24,Queenz Eye,24/10/2022,Big Mountain,South Korea,,,,Seoul,,,F,23.0
Ahyoung,Cho Jayoung,조자영,아영,1991-05-26,Dal Shabet,3/01/2011,Happy Face,South Korea,,,,Seoul,,,F,35.0
Ahyung,Kang Ahyoung,강아형,아형,1996-08-27,P.O.P,26/07/2017,DWM,South Korea,,,,Pohang,,,F,30.0
Ailee,Lee Yejin,이예진,에일리,1989-05-30,,,,South Korea,USA,165.0,,Denver,,,F,37.0
Aini,Kim Heejung,김희정,아이니,1991-07-13,,,,South Korea,,163.0,44.0,,,Pink Fantasy,F,35.0
Aisha,Heo Yoorim,허유림,아샤,2000-07-21,Everglow,18/03/2019,Yuehua,South Korea,,,,,,,F,26.0
Aki,Jang Minju,장민주,아키,2001-02-12,MAJORS,9/03/2021,ANS,South Korea,,168.0,48.0,,,,F,25.0
Alex,Alexander Schmidt Lee,알렉산더 슈미트 리,알렉스,2004-10-06,DRIPPIN,26/10/2020,Woollim,Germany,South Korea,180.0,,,,,M,22.0
AleXa,Kim Seri,김세리,알렉사,1996-12-06,,,,USA,,,,,,,F,30.0
Alice,Song Joohee,송주희,앨리스,1990-03-21,Hello Venus,9/05/2012,Fantagio,South Korea,,166.0,47.0,Wonju,,,F,36.0
Alice,Cheon Jaeyoung,천재영,앨리스,2002-02-20,TRACER,3/04/2022,Gleamedia,South Korea,,,,,,,F,24.0
Allen,Allen Ma,앨런 마,앨런,1999-04-26,CRAVITY,14/04/2020,Starship,USA,South Korea,,,,,,M,27.0
Amber,Amber Josephine Liu,엠버 조세핀 리우,엠버,1992-09-18,f(x),5/09/2009,SM,USA,Taiwan,167.0,,Los Angeles,,,F,34.0
A-min,Cho Minwoo,조민우,아민,2004-05-22,EPEX,8/06/2021,C9,South Korea,,175.0,54.0,Namyangju,,,M,22.0
Andy,Lui Chunyeung,루이쯔양,앤디,1994-10-06,7 O'clock,26/08/2014,Jungle,Hong Kong,,,,,,,M,32.0
Andy,Lee Sunho,이선호,앤디,1981-01-21,Shinhwa,24/03/1998,SM| Good| Shinhwa,South Korea,,175.0,62.0,Seoul,,,M,45.0
Anne,Lee Seoyoung,이서영,앤,2000-10-17,GWSN,5/09/2018,Kiwi Pop,South Korea,,,,,,,F,26.0
